Cell Line,Inhibitor,Stimulus,Timepoint,4EBP1_pS65,4EBP1_pT37_pT46,ACC_pS79,AKT_pS473,AKT_pT308,AMPK_pT172,BAD_pS112,c-Met_pY1235,c-Raf_pS338,CHK1_pS345,CHK2_pT68,EGFR_pY1068,EGFR_pY1173,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2_pY1248,HER3_pY1298,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NDRG1_pT346,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PEA15_pS116,PKC-alpha_pS657,PKC-delta_pS664,PKC-pan-betaII_pS660,PRAS40_pT246,Rb_pS807_S811,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
UACC812,DMSO,Insulin,15,3.668403973,6.511070191,0.590542997,1.968527103,1.233997392,4.737070652,0.812916862,0.603677337,0.854365205,0.724441214,0.622229312,10.85571397,1.223383439,1.234256113,4.18377168,1.921578984,16.07437339,1.566340313,0.292579678,0.450776516,1.008079175,1.383562891,0.809239213,1.259131503,0.512351704,1.185795701,0.851180115,2.561028613,0.361793607,3.003888691,8.630471451,0.15428066,0.733140414,1.983069741,7.206885734,7.652042135,1.866702451,9.540070334,8.328397226,1.558225596,6.804506676,0.275087629,3.688464742,0.601478608
UACC812,DMSO,EGF,15,2.617103659,3.927649762,0.828154079,1.602332062,1.065889825,3.937979088,0.872082303,0.635027716,1.020911312,0.867002711,0.596715013,5.893108568,1.265854268,1.18248415,3.194964017,2.020495995,8.358754351,1.599295732,0.372882072,0.686156289,1.264369067,1.518864759,0.860863317,1.307322862,0.556787466,1.059532092,0.872158326,2.289859446,0.428898625,2.757431515,4.91156528,0.228640512,0.707265665,2.028668216,4.785164864,4.918085226,1.929494289,6.601266656,5.758814329,1.901024956,5.159147726,0.30151377,2.53617652,0.678397091
UACC812,GSK690693,IGF1,15,2.488408652,3.572998117,0.768573435,13.67660715,8.224688388,3.871053934,0.790348862,0.652979316,1.216353548,0.885001348,0.619376064,5.510837542,1.345683861,1.346882068,2.917606983,1.78556808,7.036619628,1.891223793,0.363335193,0.651283859,1.096323708,1.501698947,0.739455396,1.25705084,0.581971877,1.015950965,0.85134536,1.494138359,0.401364043,2.710225172,3.871336472,0.233071759,0.746845643,1.95142559,3.714926299,5.189572206,1.693558385,4.281665655,4.681201898,1.709150343,5.315648522,0.314938251,2.244821297,0.610663653
UACC812,GSK690693,FGF1,15,2.463081717,3.679499525,0.888776178,12.94330796,8.300294588,4.252294489,0.842757143,0.661370788,1.270831338,0.90639573,0.641941862,5.108356986,1.356976193,1.409426646,2.905171637,1.838770158,6.731374047,1.965171534,0.369249233,0.672834721,1.413001849,1.549533907,0.725334108,1.316550002,0.587345611,1.041561578,0.791118547,1.607083021,0.439553377,2.770827407,2.263401398,0.236293896,0.764426207,2.203498304,3.912746373,5.527462192,1.83260229,5.106051066,4.995234335,1.832633901,5.511444684,0.322515546,2.220387439,0.600870689
UACC812,DMSO,IGF1,15,2.660459949,3.740964134,0.650520605,1.791560144,1.005326932,4.070870101,0.912651125,0.630299393,1.099602356,0.925014149,0.624818446,7.572250902,1.322258918,1.29399296,3.429702198,2.130250219,9.044604804,1.745633214,0.380638969,0.556968041,1.179230891,1.627597424,0.902168396,1.36676411,0.597215125,1.179614464,0.850552948,2.622300882,0.413633862,2.852855952,4.868315124,0.218096497,0.747287689,2.030663823,4.933409048,5.507582645,1.79138538,6.857003193,7.366896309,1.839414106,5.073665112,0.314795867,2.522238069,0.701888006
UACC812,DMSO,FGF1,15,2.548074696,3.354372673,0.818203241,1.655058972,1.080269642,4.307654615,0.905084347,0.742519976,1.31746024,1.011664468,0.636732794,5.333867319,1.33897943,1.381527189,3.594588504,2.00807244,7.911090504,1.905298593,0.359402005,0.64886037,1.230648924,1.652258885,0.897223237,1.308057805,0.560517041,1.070455686,0.849723524,2.671195052,0.428918163,3.021917687,4.015692441,0.225859613,0.776436181,2.189053017,4.504401198,5.77088251,2.079486544,7.452790971,7.205664035,1.714260242,5.424721388,0.329909492,2.461353509,0.675979937
UACC812,GSK690693,Insulin,30,3.143382022,5.203713055,0.73229661,21.83466976,12.28212915,5.66548841,0.634647026,0.607619875,0.934522357,0.788570532,0.584202987,11.32056047,1.356638437,1.634572899,3.919307845,1.999940465,14.60155832,2.072674993,0.329595138,0.564154869,1.277619065,1.202621076,0.667319204,1.348998807,0.52893767,1.024486608,0.863653682,1.637333455,0.348896928,3.017828081,6.488226499,0.192155815,0.739139874,2.207401253,5.318128323,6.3003009,1.415535285,5.326768805,5.329985753,2.175824413,6.647682424,0.269813498,3.100057675,0.556970752
UACC812,GSK690693,EGF,30,2.672944866,4.393336294,0.802300348,13.70645596,9.163407091,4.29443669,0.715382683,0.538418184,1.006537969,0.754417458,0.554838677,7.01673849,1.283435709,1.183121898,3.054864749,1.87968457,8.7283869,1.836876781,0.309001888,0.718492234,1.695721014,1.256142123,0.692965247,1.220732957,0.491101094,1.052986709,0.862430589,1.704308871,0.37247954,2.78686418,6.983672578,0.203564463,0.667612116,2.046997943,4.781657743,5.231367897,1.489652705,4.560402151,4.882468454,2.120417349,5.246267672,0.284273435,2.563045297,0.597703409
UACC812,DMSO,Insulin,30,2.730643497,3.883115735,0.711080904,2.130391594,1.332564081,3.795168156,0.857163292,0.609380177,1.001470901,0.833873578,0.601414583,8.106873369,1.301938609,1.19308096,3.594661917,2.278268236,9.720008098,1.62367299,0.38053106,0.547479747,1.204999239,1.363819318,0.922984569,1.391865562,0.582562253,1.11153758,0.871943048,2.453683554,0.384305849,2.562819692,4.426117462,0.214122266,0.730111534,1.800358909,4.919545423,4.558801942,1.989440122,5.421443639,4.973288692,1.98145827,4.565215503,0.314482257,2.570954177,0.693477197
UACC812,DMSO,EGF,30,3.160510235,4.370009303,0.81506901,2.096028425,1.282564988,4.772075314,0.849879963,0.549938031,1.00550365,0.747917664,0.578798053,7.472661375,1.282499345,1.14870007,3.859344056,2.332867447,10.1026325,1.738966816,0.329991428,0.662455019,1.527319286,1.563959906,0.903157763,1.289938467,0.475908129,1.088653186,0.833321011,2.911397135,0.374092255,2.869794592,5.655330076,0.211256222,0.670563313,2.084755759,5.546072999,5.694165206,2.091859298,6.34716261,6.676532936,2.162943085,5.554515504,0.283777878,2.856623929,0.66108074
UACC812,GSK690693,IGF1,30,2.566301951,3.666183766,0.868775824,14.3922967,8.61268945,4.026772474,0.733257008,0.68223869,1.216638908,0.833749865,0.615096108,7.829169268,1.419241997,1.287358714,2.814917299,1.983139431,8.606461639,1.985472149,0.356424621,0.57452164,1.213968713,1.47019872,0.731379555,1.219341508,0.58169786,1.16767188,0.880632232,1.534473019,0.380987604,2.644219492,3.817560455,0.231945741,0.75241445,1.884492118,3.574444904,4.679026537,1.628990108,4.05974728,4.060322056,2.06129762,4.893872208,0.311657872,2.214992631,0.730074091
UACC812,GSK690693,FGF1,30,2.565779683,3.580323242,0.897491852,13.41057188,7.764829059,4.011264606,0.77626883,0.648519263,1.274946274,0.7998629,0.60798342,6.54156422,1.437796358,1.362583042,2.973329422,1.972219109,8.111607303,1.862680855,0.360876066,0.798540897,1.557646862,1.440286622,0.703802077,1.204815982,0.578010298,1.050544923,0.864298043,1.708102338,0.406866619,2.646824104,3.970101095,0.216702835,0.734804319,2.044200343,3.757239006,4.97731212,1.654486071,4.37779029,4.315183793,1.961054027,4.847050043,0.29791402,2.211544844,0.687361269
UACC812,DMSO,IGF1,30,2.705349586,3.348443955,0.737193027,2.336744324,1.350027662,3.858420772,0.845129389,0.694394185,1.121040929,0.840063286,0.636270694,10.2109374,1.433155671,1.260157748,3.612369329,2.336802149,11.47207137,1.79248449,0.380238519,0.532614402,1.129169688,1.543035155,0.8677344,1.335778683,0.578947657,1.130257927,0.941694068,2.398204128,0.360073351,2.728338422,4.553381617,0.21603582,0.805724139,1.940257588,4.714301765,4.920796673,1.804738589,6.289378703,6.696458657,2.148550799,4.791177163,0.336994771,2.304769305,0.756385801
UACC812,DMSO,FGF1,30,3.254227323,4.031728033,0.661814831,2.296758136,1.263630682,4.48441651,0.86344703,0.623411669,1.053709377,0.874307473,0.631535815,9.267829578,1.406105063,1.313026247,4.125600474,2.380850919,12.17789654,1.811001037,0.34718288,0.740944061,1.35475758,1.321236616,0.936609393,1.426778088,0.524511462,1.170811116,0.883928079,2.950398606,0.370308718,3.314330899,6.595135453,0.202923955,0.745596115,2.121642884,5.69542323,5.728701838,1.910394263,6.189119776,6.085284239,2.089572773,4.72233512,0.325438127,2.898548887,0.76283229
UACC812,GSK690693,Insulin,60,3.201877065,5.067055495,0.792071079,16.45568444,10.41570141,5.065306135,0.611655039,0.54520233,0.998454217,0.704238087,0.547418803,15.51934018,1.467417316,1.20509495,3.399503549,1.9271364,12.85317255,2.172953847,0.284282274,0.384595468,1.105295891,1.39382564,0.640239243,1.291150964,0.477174198,0.977242561,0.852336468,1.406389103,0.291276065,3.034186507,4.813842878,0.196995643,0.662088042,2.097527384,4.951435896,6.285273286,1.400269486,4.669822207,4.649166246,2.608834997,6.835135866,0.26894521,2.914587852,0.577338871
UACC812,GSK690693,EGF,60,2.969015105,4.505293681,0.736313583,15.24923511,10.14953826,5.404230122,0.585918226,0.551414109,1.077230414,0.69674426,0.555683499,13.22621997,1.318978429,1.233668911,3.495223244,1.985964398,11.76230722,2.094722077,0.251820484,0.474932518,1.06768257,1.592716022,0.626726165,1.137432296,0.48345707,1.023946648,0.81219798,1.345010462,0.314047213,3.032703269,4.278380063,0.208264986,0.67897485,2.348490079,5.239312432,6.940089101,1.511482384,5.42848036,5.01611507,2.568330925,7.1051138,0.263342888,2.789073125,0.572726522
UACC812,DMSO,Insulin,60,2.862035692,4.454286696,0.661336484,2.100530877,1.414185685,4.149607232,0.752526563,0.632157981,0.969159032,0.755700799,0.585370602,12.72394839,1.438597808,1.204837406,3.502340625,2.102727746,10.22588534,1.729326959,0.329047613,0.365998077,0.959372323,1.425733845,0.850630847,1.284466291,0.551481092,1.111077596,0.876923979,2.105711454,0.325111473,2.669279512,4.351441779,0.203722725,0.702682929,1.843394166,5.084706955,5.212448582,1.771369325,5.838979528,5.378911761,2.458223695,5.245517438,0.298022651,2.688528889,0.717056079
UACC812,DMSO,EGF,60,2.773383905,3.762969778,0.75091241,1.89029563,1.311064899,4.328595988,0.782494834,0.631419476,0.972561841,0.812343349,0.572307364,10.50024037,1.349282317,1.123356082,3.52030206,2.096778819,9.891464648,1.687041512,0.341279289,0.474672079,1.151285999,1.564929427,0.840072076,1.211814869,0.57985126,1.129361499,1.001478982,2.044771456,0.362301852,2.598129948,5.592350698,0.209725894,0.750070928,1.886839221,4.99685679,5.089937029,1.754201998,5.716622664,5.168304926,2.237082622,5.191880714,0.294126932,2.504119471,0.770714656
UACC812,GSK690693,IGF1,60,2.51830103,3.5039455,0.791252871,14.43065304,8.407356974,4.019913603,0.695766144,0.663901339,1.166166949,0.755088283,0.599532472,11.01854398,1.514722048,1.336541153,3.053925118,1.933746539,9.449453749,1.960038503,0.341489341,0.422729576,1.08381127,1.455217273,0.694571494,1.181960052,0.578840874,1.049094137,0.891533708,1.4612129,0.326551739,2.702654681,4.209121412,0.217563644,0.742592694,1.968276516,3.554842747,5.134473345,1.591392731,4.225755142,4.166820579,2.296805171,5.371351033,0.308597099,2.369930485,0.678320542
UACC812,GSK690693,FGF1,60,2.568285259,3.786510246,0.653452734,13.80458758,7.846725572,3.866945674,0.707178448,0.560093659,1.050681836,0.721954885,0.541961569,9.432860071,1.366324194,1.141420139,3.035891328,2.001509009,9.799144822,1.80851104,0.300868212,0.626572527,1.361844998,1.420034943,0.68723714,1.225343544,0.526096963,0.953701671,0.910503408,1.670459913,0.33600983,2.843711631,6.430938926,0.187149244,0.685657203,2.113046477,3.909772954,5.280743213,1.632323131,4.648697402,4.983216176,2.037287676,5.366403872,0.263773853,2.352144762,0.653685376
UACC812,DMSO,IGF1,60,2.91882837,3.908305274,0.651065534,2.355687775,1.47572118,4.279853188,0.739060789,0.665096602,1.084701422,0.773980714,0.623639717,15.82284058,1.496114692,1.304764782,4.133960266,2.565694857,14.98095424,1.845414037,0.358762723,0.37197051,0.951124426,1.68845373,0.778180451,1.357086825,0.564117207,1.088520354,0.878891495,2.489595116,0.317451978,2.96188048,3.613871284,0.227662477,0.741118991,2.084289495,5.412989291,5.708966396,1.977787655,6.7434259,6.344154671,2.559252854,6.032666313,0.316464334,2.80392306,0.722447182
UACC812,DMSO,FGF1,60,2.90784277,3.592375055,0.676244186,2.187140693,1.458907121,4.38413614,0.785401546,0.620043697,1.205464472,0.748986727,0.565240737,11.02050026,1.369370654,1.16606356,3.791458532,2.491571033,11.05019224,1.749029844,0.323499836,0.630516576,1.346885374,2.121013505,0.768245287,1.334624218,0.546169551,1.15718912,0.897164034,2.719049159,0.359221649,2.995654075,4.952940276,0.198194893,0.72989206,2.272385091,4.699393562,5.776083992,2.161916372,7.022621632,7.665531376,2.079036679,5.477499624,0.307974889,2.570961803,0.730652704
UACC812,GSK690693,Insulin,120,2.667870205,4.290408015,0.739947509,14.85652726,9.164207173,4.970216263,0.572521995,0.638558669,1.066601395,0.771761241,0.609818054,19.60888098,1.522386369,1.33556688,2.880886003,1.771349617,13.86935204,2.100581862,0.363806777,0.353968047,0.921888548,1.259400975,0.669896357,1.270526206,0.536486952,1.047594104,0.809927362,1.180118796,0.292353321,2.960632443,0.753469915,0.239464527,0.722512271,2.202672467,4.602721821,5.699276459,1.521012243,3.306609479,2.715744531,2.956484472,6.949871343,0.326746233,2.511961972,0.714823628
UACC812,GSK690693,EGF,120,2.302436777,3.963116328,0.701102326,9.504837025,6.302261591,4.32216153,0.650307495,0.636392088,1.203833084,0.790317746,0.639247462,13.66291327,1.473158451,1.374891947,2.550891745,1.738936213,11.55919919,1.89102516,0.388497255,0.44321009,1.067769339,1.278114242,0.672992905,1.185687286,0.588397919,1.086209501,0.748317145,1.289647415,0.346773947,2.691809266,0.625329461,0.241114033,0.770427146,1.980058484,4.018631454,5.218708122,1.551191343,3.581007574,2.534651287,2.74036898,6.077180126,0.335784379,2.253865756,0.794684454
UACC812,DMSO,Insulin,120,3.018582576,5.498571432,0.822119501,2.077991379,1.482219949,5.059169593,0.701429542,0.645431732,1.211199756,0.746270754,0.642334292,17.39464573,1.578876152,1.317540095,3.165528978,2.112411114,13.96899693,1.879080698,0.386927333,0.337859362,0.957606719,1.401080567,0.853186929,1.443390381,0.574291277,1.129943266,0.785814968,1.876506284,0.283120343,2.916955689,0.60520559,0.243510324,0.699913174,2.11130203,5.455050486,6.113046854,2.024179667,6.11066728,3.811722335,3.172097049,7.283064683,0.333169633,2.785072231,0.7909253
UACC812,DMSO,EGF,120,2.662246784,4.623630642,0.754873149,1.932461464,1.536544934,4.546321935,0.717860903,0.687645174,1.110495136,0.735977026,0.623647159,12.60122498,1.42889817,1.25974921,3.241770317,2.085857405,11.53077312,1.759774945,0.400722738,0.438514277,1.048009395,1.462625108,0.791615081,1.471246822,0.605492112,1.162604511,0.836314681,1.812343625,0.362159965,2.69445878,0.714864693,0.243695233,0.77254647,2.010445761,5.093231531,5.606073933,2.030971496,5.230682308,3.668194145,2.666650162,6.146567369,0.339524712,2.539884264,0.897326547
UACC812,GSK690693,IGF1,120,2.955837917,4.910541049,0.825678247,14.07922273,8.893065836,5.018095472,0.619017863,0.629511711,1.217162438,0.71978038,0.630670893,18.64286184,1.597548882,1.471384258,2.946070523,1.8395202,16.78526286,2.152617177,0.374828451,0.337697459,0.981888326,1.282921905,0.717611906,1.342361106,0.569296507,1.043909397,0.81225291,1.262917553,0.299539522,3.125684463,0.864212232,0.244957705,0.681329583,2.19582949,4.403813085,6.253905213,1.684827639,3.589024292,2.847442775,3.091184091,7.030546838,0.320440287,2.863639228,0.775448281
UACC812,GSK690693,FGF1,120,2.415070719,4.257624869,0.763028561,11.82273611,6.769728859,4.416609582,0.717282173,0.680653544,1.308941676,0.753882327,0.671868332,11.1520945,1.450706933,1.401697076,2.532399301,1.706181735,10.31572881,1.767552181,0.37326261,0.556427692,1.187789858,1.40283093,0.738249847,1.255405936,0.599661981,0.997661506,0.754728203,1.541100384,0.397502153,2.741788296,0.720600927,0.251969093,0.72698283,2.041624814,3.951501217,5.660473108,1.700791592,4.610004959,3.577981172,2.583907125,5.878999106,0.338485307,2.54945617,0.833605956
UACC812,DMSO,IGF1,120,3.129868081,5.066429365,0.733454773,2.447821304,2.603768441,4.793404906,0.59665504,0.590809446,0.861132606,0.671484011,0.57933404,21.40402898,1.608619997,1.285223219,3.982698968,2.384293183,21.7783474,1.912865034,0.325353696,0.29482853,0.902690187,1.513511657,0.729227118,1.813367237,0.431057452,1.240289996,0.819025877,1.929558741,0.264156218,3.306839642,0.799150684,0.212655223,0.656893681,2.446617435,5.816687022,6.860842215,2.274105976,6.129358615,5.337997275,3.166961875,7.627126438,0.288766188,2.894427939,0.744961698
UACC812,DMSO,FGF1,120,3.690204594,4.80706249,0.767922757,2.241842691,1.471103197,6.682956538,0.778259479,0.652610167,1.341647225,0.735893065,0.709228858,15.33187498,1.352766317,1.443134387,4.183768997,2.248612018,15.72336711,1.760688063,0.352001536,0.47974679,1.139646513,1.506642771,0.759638992,1.676287519,0.55891521,1.239705432,0.716252656,2.638817097,0.357624418,3.830113663,0.673455795,0.240657878,0.808380562,2.667844756,6.581859919,8.9162919,2.518649155,9.509507363,6.354060127,3.114886453,8.645373277,0.313968406,3.397397566,0.820831732
UACC812,GSK690693,Insulin,240,2.606038279,4.359361603,0.992090567,13.98351424,8.49772151,6.31430438,0.568728842,0.685305661,1.200381545,0.752946089,0.603502032,19.47901856,1.611768618,1.477523434,3.058394118,1.858040816,12.14829027,2.213886547,0.382870393,0.453232763,1.014479934,1.275110645,0.640812721,1.385895692,0.591055,1.052790043,0.833491231,1.200428936,0.30394335,2.975279726,0.700823352,0.231564178,0.741941165,2.134413991,4.368986831,5.948427863,1.632697479,3.031617863,2.150203508,3.040342566,6.672205472,0.310879704,2.340687603,0.681040154
UACC812,GSK690693,EGF,240,3.259744695,5.242061055,1.135266844,3.026957724,2.246120517,6.925638876,0.585365763,0.562531934,0.896591938,0.753297771,0.596653962,21.91320473,1.640908608,1.413966597,3.959555085,2.392616206,14.04607339,1.972744078,0.358019284,0.417859245,1.039371999,1.602551129,0.606897709,1.683205867,0.47675256,1.065398085,0.94021867,1.524171324,0.25593319,3.01458059,1.332275108,0.218653669,0.710686269,2.239860727,5.689057572,6.330662503,1.675670528,4.602229521,4.121299786,3.665891822,8.002353663,0.300374884,2.54314966,0.584462433
UACC812,DMSO,Insulin,240,3.270272757,5.797398419,1.134305572,12.82250744,8.74867317,7.449825268,0.607082122,0.662841225,1.170997972,0.804427014,0.68087522,17.95947358,1.465370459,1.378207487,3.445461119,1.961974983,16.97747242,2.28124647,0.388860823,0.466534605,1.135865508,1.375808295,0.638957836,1.455022537,0.566386753,1.004387814,0.823647715,1.374289518,0.323644468,3.247661077,0.640168113,0.254311856,0.776243494,2.41347754,4.686689082,6.844652022,1.859685176,3.916351769,2.863129341,3.456446829,8.433217242,0.344790157,2.713185078,0.73442222
UACC812,DMSO,EGF,240,3.432458697,5.329913652,0.746044133,2.055048033,1.482856191,5.950595074,0.673698269,0.624638529,0.892367602,0.770396221,0.618264794,15.47521487,1.521527479,1.24619572,3.423762695,2.127582572,14.80621757,1.922016006,0.36783955,0.492143675,1.417948648,1.156766493,0.695994015,1.441113924,0.538502013,1.060945505,0.889709431,1.762752115,0.308294498,3.141381084,3.241961032,0.217758924,0.724180541,1.837555989,6.21833172,5.408721409,1.477027129,4.115029471,3.458564152,3.078419999,5.687138903,0.326326671,2.887908435,0.721842532
UACC812,GSK690693,IGF1,240,2.855125576,4.683763534,1.064560346,15.66671058,9.727326326,5.929961224,0.592410282,0.640937038,1.043057639,0.765575057,0.664081094,20.16962605,1.556682329,1.463133783,3.053530211,1.873036827,21.72742378,2.199038731,0.385199807,0.378047508,0.92521795,1.291541886,0.620303438,1.392663242,0.523735041,1.050665636,0.788950381,1.234359995,0.301901964,3.052462761,0.643123888,0.253646381,0.721690394,2.06711865,4.343100474,6.15433304,1.772156539,3.013393982,2.43307289,3.070927027,7.781239544,0.332560053,2.525665946,0.68704454
UACC812,GSK690693,FGF1,240,2.870270804,4.506733578,1.031722319,11.83078348,7.633357116,5.900035251,0.650929483,0.667164334,1.102326222,0.755631567,0.678467653,13.78590124,1.491859754,1.375342412,3.09163792,1.821220562,16.0177441,2.03814105,0.355757996,0.520499123,1.317477385,1.529804201,0.603424055,1.361053918,0.528818695,0.944983877,0.795273512,1.487330597,0.350072094,3.0960575,0.879544694,0.247273531,0.714877986,2.255319019,4.690893414,6.306125409,1.615146027,4.232611168,3.645783028,2.742988551,6.455066254,0.31557918,2.518652271,0.720938854
