Cell Line,Inhibitor,Stimulus,Timepoint,4EBP1_pS65,4EBP1_pT37_pT46,ACC_pS79,AKT_pS473,AKT_pT308,AMPK_pT172,BAD_pS112,c-JUN_pS73,c-Met_pY1235,c-Raf_pS338,CHK1_pS345,CHK2_pT68,EGFR_pY1068,EGFR_pY1173,EGFR_pY992,ER-alpha_pS118,GSK3-alpha-beta_pS21_S9,GSK3-alpha-beta_pS9,HER2_pY1248,HER3_pY1298,JNK_pT183_pT185,MAPK_pT202_Y204,MEK1_pS217_S221,mTOR_pS2448,NDRG1_pT346,NF-kB-p65_pS536,p27_pT157,p27_pT198,p38_pT180_Y182,p70S6K_pT389,p90RSK_pT359_S363,PDK1_pS241,PEA15_pS116,PKC-alpha_pS657,PKC-delta_pS664,PKC-pan-betaII_pS660,PRAS40_pT246,Rb_pS807_S811,Rictor_pT1135,S6_pS235_S236,S6_pS240_S244,Src_pY416,Src_pY527,STAT3_pY705,YAP_pS127,YB-1_PS102
BT20,PD173074,FGF1,15,2.659222385,3.54848812,0.375285398,2.482692068,1.84461855,1.646707154,1.001213731,0.28127574,0.720415189,1.201107001,1.126526497,0.986789077,0.48485397,1.443856724,0.232601118,0.866684388,2.646170011,2.214593455,0.922777118,0.44987963,0.334589417,0.60235299,1.144693871,1.145114862,0.342649542,0.880932466,0.647523909,0.911298361,0.805332168,0.727025746,0.407849594,2.319769594,2.959147286,0.353941068,0.936139067,2.306180963,6.971033105,2.554669146,1.83324649,0.825485166,0.782766737,0.94718937,2.060671989,0.518931069,4.112354749,0.899305764
BT20,PD173074,Insulin,15,2.755273324,3.38468834,0.400667604,2.725131117,2.002109047,1.733643652,0.995175335,0.283220515,0.702673687,1.15791089,1.139375592,1.007861553,0.474275064,1.369430195,0.220076499,0.900446184,2.682343362,2.352478076,1.015607237,0.474571301,0.353811012,0.619681117,1.243861813,1.265405631,0.368049172,0.882980973,0.641375967,0.89294612,0.860097138,0.736889684,0.412109699,2.313381913,3.059553827,0.371617171,0.949219408,2.443225782,6.291647174,2.623675374,2.060047229,0.780416801,0.713643194,1.049710814,2.141914539,0.504262426,3.746311159,1.003563648
BT20,DMSO,FGF1,15,2.65626866,4.089407814,0.379957836,3.095522155,2.026833599,1.407047855,1.025409652,0.282546431,0.68460517,1.218351653,1.208057407,0.907039244,0.455620363,1.367149611,0.205685576,0.877728412,2.706917267,2.460592339,0.948823349,0.43218539,0.388656273,1.116065739,2.072906756,1.199435395,0.331978333,0.799216287,0.626720566,0.900502723,0.889703074,0.72573935,0.465348242,2.079982785,5.138429216,0.334424015,0.929128911,2.38050168,7.173458874,2.590343103,1.683539107,0.721852379,0.683602493,0.9531642,1.865562714,0.466239443,3.684859626,0.895534141
BT20,DMSO,Insulin,15,2.598418058,3.841040401,0.450186951,3.049593292,2.040875452,1.99521329,0.985572297,0.259751393,0.668681683,1.214597462,1.170998897,1.007278845,0.445740974,1.356667429,0.211786277,0.916500268,2.781686765,2.585667516,1.001759195,0.440735599,0.363677317,0.594012629,1.291790435,1.303728262,0.352265113,0.828207241,0.620475898,0.838366312,0.792634519,0.66768988,0.362952777,2.307150599,2.99813828,0.395145361,0.96002308,2.583290506,6.223223157,3.018447944,2.219099188,0.747211482,0.735413817,1.172136984,2.342716623,0.465322921,3.483283624,0.852955039
BT20,GSK690693,FGF1,30,2.315657687,3.143651298,0.501794097,6.33117841,4.700760067,1.655046885,1.069695344,0.245432872,0.701091468,1.445657101,1.12254112,0.931672666,0.483047876,1.344866079,0.225095848,0.933201332,2.118230387,2.272956195,0.954339611,0.440669756,0.353663402,0.793280603,1.452269694,1.028028441,0.266494153,0.934870439,0.720802394,0.81792693,0.821241401,0.524553016,0.421954697,2.281390048,3.007256358,0.370258359,0.916958919,2.283518014,5.598243429,2.489401007,1.483754919,0.506618242,0.421116741,1.3021399,2.087411916,0.511084684,3.800701132,0.91247148
BT20,GSK690693,Insulin,30,2.096128515,2.935415464,0.58956658,6.649019687,4.347683635,1.748528696,0.935367383,0.246944746,0.702181491,1.31981843,1.193807263,0.992820362,0.440498277,1.352189189,0.211815944,0.93951581,2.234513737,1.975440278,0.984744894,0.45408033,0.365640158,0.697437448,1.521608607,1.154942579,0.293021202,0.851571267,0.650619589,0.85612722,0.840249702,0.424372058,0.363042619,2.135501737,3.692290418,0.391716287,1.02910622,2.39529394,5.530183702,2.747353302,1.518839403,0.435351228,0.413868998,1.384110274,2.382093959,0.503133276,3.489790999,0.860181808
BT20,GSK690693_GSK1120212,FGF1,30,2.609174825,3.71472836,0.425268949,8.021503022,5.31140352,1.767066722,0.92331438,0.243276426,0.756241278,1.498239838,1.181947388,0.913746878,0.511687895,1.428012208,0.22798232,0.956740905,2.125002663,1.836565096,1.045856655,0.460347072,0.374372668,0.172582633,3.782786969,0.916171202,0.308198481,0.924247677,0.649934769,0.913866582,0.949237434,0.446083974,0.334867538,2.303496494,3.56973612,0.36422578,0.969459524,2.161788194,7.1403318,2.404583284,1.328737621,0.309239059,0.251145732,1.322401154,2.078567413,0.491429875,4.298064596,0.912713056
BT20,GSK690693_GSK1120212,Insulin,30,2.089058592,2.904472684,0.638154203,6.93552438,4.786160215,1.970537563,0.865768897,0.217910489,0.738817413,1.326201357,1.176703786,1.012973313,0.503912892,1.359152347,0.24382054,0.85309034,2.070441365,1.839006809,0.974404455,0.493437823,0.379297961,0.11728385,0.84383296,1.126392339,0.285833012,0.863849678,0.612658036,0.925840682,0.869299858,0.341039411,0.325967112,2.203193084,2.634597954,0.412340132,1.125973041,2.394169343,5.647701485,2.779775461,1.349798332,0.262016321,0.253329289,1.585465304,2.489039387,0.489698769,3.655916513,0.777368758
BT20,PD173074,FGF1,30,2.505287727,3.226623307,0.595582105,3.457729646,2.880017262,1.747926898,0.979304732,0.228235766,0.71023232,1.356846223,1.176404423,1.012384742,0.472789344,1.387664552,0.228282775,0.907099907,3.040452758,2.689627171,1.022551831,0.45257391,0.372446662,0.702658024,1.593955087,1.406323306,0.290004985,1.121464403,0.592135136,0.873192871,0.834052338,0.646441083,0.37772966,2.10708314,3.249733815,0.367705359,1.097969834,2.55463737,6.297613766,2.945088869,2.127712133,0.892282259,0.996339078,1.160404053,2.322059208,0.482657469,3.486537567,0.836868093
BT20,PD173074,Insulin,30,2.619546773,3.256566505,0.531311476,3.328490837,2.684484156,1.836572388,1.013235804,0.254366624,0.720520308,1.271465798,1.10025788,1.037476085,0.493961669,1.437194283,0.218819528,0.840454254,2.691968526,2.479352254,0.98199516,0.447859328,0.377372738,0.694554498,1.528287948,1.171574057,0.352836201,1.044747759,0.572845165,0.888374195,0.888281073,0.72282117,0.401571002,2.197428358,3.012159224,0.354687887,0.976292993,2.243147347,6.642795158,2.543916172,1.790091662,0.907772986,0.855649899,1.184609974,2.069340495,0.481587146,3.66216454,0.904733312
BT20,DMSO,FGF1,30,2.549495369,3.607154251,0.51309376,3.562888011,2.680932859,1.558758929,1.044297975,0.252619107,0.727502335,1.294981191,1.152477347,0.981360424,0.452260815,1.350480846,0.210423958,0.874711674,2.873624283,2.703318224,1.017714191,0.427289558,0.34606328,0.74307058,1.571834633,1.304715894,0.326443185,1.10934574,0.596987276,0.794662321,0.918301436,0.791666153,0.451547584,2.105753574,3.416905929,0.35248358,0.952562843,2.293236749,6.374108046,2.702644287,2.002137708,0.865861549,0.826028739,1.062302024,2.089393539,0.459433007,3.447600668,0.918231095
BT20,DMSO,Insulin,30,2.41818142,3.598297108,0.50976078,3.393053404,2.735450826,1.610398829,0.998107314,0.262744708,0.678674904,1.355451229,1.12264066,1.021540076,0.455278781,1.347061655,0.215456246,0.852654126,2.912572796,2.789488678,1.093797108,0.445827792,0.363077061,0.717514021,1.680134707,1.229740982,0.344537701,1.087457588,0.656589872,0.878374986,0.869603172,0.732437864,0.405957189,2.224896957,2.651385513,0.365264917,0.911690486,2.352164942,6.292984338,2.621610588,2.066459239,0.978085288,0.921605016,1.209881893,2.177005779,0.496915591,3.604297612,0.888756579
BT20,GSK690693,FGF1,60,2.153780962,3.114130037,0.512501969,5.99815498,4.618149523,1.603684139,1.084379664,0.254366624,0.694919966,1.325631296,1.13676839,0.890622274,0.493870832,1.323109367,0.233429715,0.857875069,2.043566443,1.832374804,1.042350574,0.41819524,0.375883227,0.998984715,2.255147705,0.966702551,0.26683306,0.991229401,0.696422578,0.872676079,0.93541674,0.539750099,0.404388102,2.148883246,6.220680789,0.358128439,0.961337481,2.219899967,6.562223817,2.353668552,1.307243432,0.488554724,0.477565455,1.33508899,1.844210282,0.511340005,3.949689057,0.872152642
BT20,GSK690693,Insulin,60,2.082747718,2.832918835,0.649040062,7.366097864,4.796934762,1.88509606,0.938374093,0.231558158,0.691780681,1.352690239,1.208733724,0.949502152,0.442537374,1.32827417,0.21376242,0.88467571,2.326133777,2.090574593,1.067655858,0.456034543,0.354455049,0.832471832,1.815536437,1.275708468,0.265608387,0.978542544,0.655184296,0.822226204,0.908365736,0.457818829,0.389630487,2.190965493,3.737493736,0.377761129,0.968721747,2.514363676,5.87712874,2.88979585,1.674420213,0.486686444,0.497858202,1.513684144,2.348147898,0.51026582,3.619225958,0.755364728
BT20,GSK690693_GSK1120212,FGF1,60,2.065280965,2.96777445,0.637635919,8.092302708,5.376377741,1.795793962,0.843304927,0.222609559,0.720620008,1.574089437,1.213546034,1.015082662,0.499558423,1.431840721,0.236858572,0.918606401,2.182309585,1.887047651,1.02429736,0.46707459,0.360454726,0.173385071,2.852987468,1.171358175,0.262800111,0.932294557,0.588669404,0.895350311,0.903349265,0.414892856,0.310516642,2.111412302,2.191610489,0.399822328,0.987330894,2.306693668,6.287108924,2.91749519,1.495313032,0.305527209,0.298530348,1.657991594,2.491347168,0.485205984,3.693132552,0.683775475
BT20,GSK690693_GSK1120212,Insulin,60,2.85192147,3.793814866,0.672978823,11.24231343,8.478549734,2.614503478,0.79430572,0.228290464,0.693019087,1.671336345,0.921686665,1.082125624,0.52153788,1.307307005,0.236711239,0.885212407,2.582521231,2.016361228,1.159033797,0.471040699,0.337828623,0.10639843,1.109189014,0.923134348,0.228151969,1.043820873,0.67007458,0.861138595,0.828670304,0.283349128,0.284804655,2.565802796,0.753406992,0.415197504,0.96711627,2.817191414,9.274462193,3.955537451,1.554175963,0.236226201,0.205986408,1.803013565,3.211111306,0.44977729,5.802728035,0.600752615
BT20,PD173074,FGF1,60,2.064078094,2.628322072,0.605619459,3.549600477,3.112747561,1.440479429,0.966739419,0.249714748,0.713567527,1.790289417,1.069476471,1.023566888,0.568915699,1.403350058,0.282281064,0.908500944,2.931344745,2.65460637,1.092335232,0.468368399,0.427102146,0.760690817,1.67068025,1.344421544,0.26521383,1.341253998,0.712113339,0.892673423,0.853379584,0.70218017,0.426091096,2.218092621,0.559722599,0.43611248,0.942016788,2.501822039,6.764861887,3.040390658,2.497484809,0.841159478,0.706283277,1.392227683,2.303500308,0.550464604,3.844264767,0.782772863
BT20,GSK690693,FGF1,120,2.234695426,2.780757835,0.474524609,7.944128354,4.905125321,2.166704626,0.9491532,0.232832614,0.750378648,1.605018653,0.993035759,1.103424439,0.562662867,1.49063769,0.261239421,0.96603349,2.391323724,1.912198834,1.018310658,0.447099349,0.349539182,0.553950304,1.226433379,1.165668203,0.247659664,0.961664815,0.651846945,0.927035648,0.836632169,0.425917847,0.420113179,2.33743062,0.883843557,0.402261132,1.042686718,3.047645835,6.300092879,2.986869564,1.960765369,0.413131585,0.345216128,1.315650247,2.672659019,0.415670444,3.935525303,0.738798382
BT20,GSK690693,Insulin,120,2.157066622,2.989800117,0.570666539,7.479163931,4.691531433,2.14987617,1.055639349,0.286497981,0.775800317,1.403450968,1.071951184,1.073176536,0.581815098,1.43877728,0.255768715,0.925118596,2.212303972,1.919883031,0.993920136,0.484262801,0.420027037,0.510064166,1.025795526,1.181258667,0.29831416,0.922538982,0.764809904,0.903156345,0.877104399,0.506926658,0.434448475,2.289512915,0.613138337,0.445365929,1.029449886,2.519400693,5.602527238,2.899767673,1.746252843,0.420430136,0.31837278,1.274699072,2.519578671,0.480183706,3.660822986,0.834002688
BT20,GSK690693_GSK1120212,FGF1,120,3.012390851,5.003657634,0.465588776,13.73591753,9.449651137,3.128368335,0.777172048,0.234266857,0.698920861,1.983591426,0.913932786,1.052148871,0.795540758,1.382869502,0.207820728,0.86003329,3.481990214,2.322724052,1.635651468,0.433808866,0.317135106,0.193155328,3.119288837,1.115949974,0.242338867,0.87150623,0.610228778,0.830297874,0.841718524,0.327792092,0.266569263,3.050875642,0.745956313,0.369806469,0.8796024,4.154499709,8.754051704,4.665646337,1.927782746,0.235867142,0.185746694,1.418467109,4.561986247,0.409592027,6.244332058,0.683235082
BT20,GSK690693_GSK1120212,Insulin,120,2.163146531,3.349468453,0.483458032,7.509052184,5.919175051,2.117931872,0.838043086,0.269932584,0.709704931,1.619395492,0.948361836,1.033131358,0.549179474,1.426424472,0.247959219,0.938727898,2.379020349,1.846481752,1.128482506,0.494099637,0.397821616,0.1219249,1.2278179,0.991155709,0.244452965,0.928764383,0.580176928,0.872129837,0.832112578,0.344850878,0.331876854,2.61612203,0.706628105,0.443408354,0.947439963,2.542541267,7.64251304,2.450108394,1.390523103,0.204332489,0.171591756,1.421274445,2.47027995,0.461948087,5.330282551,0.714146081
BT20,PD173074,FGF1,120,2.236517955,2.883434016,0.414631241,3.478583823,2.178302066,2.158843126,0.940837203,0.266388051,0.737071382,1.339654922,0.979652933,0.943063117,0.530644964,1.318818486,0.24143563,0.920367215,2.851373965,2.32851465,1.010306315,0.433616088,0.37096194,0.490134074,1.09281761,1.288730725,0.286041592,1.075806394,0.725282233,0.858006828,0.865772504,0.60725926,0.403275161,2.464632868,0.695974253,0.423356058,0.97754834,2.816123896,7.573245477,2.984975631,2.07409964,0.977550963,0.765246572,1.50052136,2.807194316,0.481955483,4.449122524,0.847793718
BT20,PD173074,Insulin,120,2.537868217,3.530427561,0.404204263,3.641328654,2.421509923,2.466217063,0.966680794,0.258790499,0.722823201,1.325367093,0.994240921,0.958992103,0.534447012,1.305825834,0.246119904,0.910149539,3.223554827,2.485215726,1.162246832,0.437704001,0.356255905,0.467463247,1.075373919,1.312054541,0.284683693,1.058868441,0.724388073,0.885441463,0.918068563,0.615412315,0.3808471,2.451290476,0.718800172,0.416001933,0.968993973,2.931775811,8.322324542,3.223608412,2.273187003,0.700305275,0.607208123,1.55182302,2.791676985,0.457246608,4.681752382,0.851983402
BT20,DMSO,FGF1,120,2.287563356,2.999874494,0.441092618,3.331187341,2.440973573,2.096833563,0.984663572,0.254677362,0.714328097,1.444341726,1.030692023,0.994058822,0.498496208,1.294609818,0.251128783,0.852539248,2.728911541,2.386131182,0.9960548,0.470488809,0.372963362,0.565738917,1.185160271,1.331801851,0.281744811,1.038203837,0.677595481,0.916655371,0.854241874,0.651082736,0.439101922,2.391781927,0.774585249,0.412911914,0.94885278,2.711798517,7.493944637,2.995189999,2.222482467,0.992273443,0.786333703,1.501615056,2.689943603,0.466833498,4.04294983,0.820954782
BT20,DMSO,Insulin,120,2.434316963,3.36706571,0.49967821,3.595110859,2.633735,2.360855124,0.9846071,0.236179183,0.659959492,1.334167466,0.990199169,1.019984059,0.497243451,1.342567292,0.262798463,0.860840794,3.190262548,2.724449023,1.027800343,0.46069825,0.350830753,0.462167373,1.031303011,1.331494211,0.284917754,1.1081467,0.628659044,0.855770145,0.851059393,0.599556555,0.384163297,2.434439889,0.599826953,0.427127399,0.935103988,2.752756324,7.347904884,3.216272745,2.146652709,0.773460875,0.621660615,1.41323815,2.590102981,0.464015927,4.532743766,0.778030373
BT20,GSK690693,FGF1,240,2.34940854,2.818193257,0.501562837,7.895541545,5.131827032,2.222215627,0.9750977,0.274141353,0.685096557,1.503053294,0.951065317,1.089039302,0.606464842,1.380605476,0.257812926,0.930496209,2.216049009,1.944105211,1.038740666,0.439100148,0.364424967,0.603792259,1.260920708,1.212437323,0.252928063,1.080442678,0.648526884,0.865890171,0.822404236,0.496851823,0.420862622,2.387187212,0.601020401,0.429339058,0.994358059,3.018728171,5.474201103,3.039652467,1.916295825,0.557148404,0.412872545,1.34803049,2.703183171,0.471722318,3.459979509,0.713223445
BT20,GSK690693,Insulin,240,2.70883506,3.973225139,0.42404815,13.99427232,8.041227563,3.002080608,0.853672424,0.247550325,0.753522786,1.161663225,0.928681626,1.081521797,0.50977469,1.413292521,0.237057253,0.901541076,2.923277611,2.307136533,1.210884551,0.410583856,0.344240325,0.459515925,1.009016335,1.031159704,0.221763194,0.973264698,0.649590573,0.862387145,0.751075375,0.404163038,0.373337852,2.78201893,0.702474389,0.389634914,0.977124608,3.241518913,8.295507495,4.074250413,2.19242531,0.410432131,0.319103627,1.271810934,3.212855644,0.437952712,5.042071303,0.610466594
BT20,GSK690693_GSK1120212,FGF1,240,2.264847037,3.112500688,0.534761601,9.270966378,5.482428773,2.228952806,0.905973228,0.261177314,0.761675719,1.842845448,1.04072468,1.12360798,0.686467296,1.499101486,0.272176509,0.896121122,2.254148561,2.021727415,1.281853875,0.47743991,0.388069188,0.219696336,2.637531931,1.12130472,0.27066332,0.92358932,0.716171256,0.894441426,0.888907618,0.430690742,0.339036833,2.346174396,0.834275545,0.432466766,1.037013276,2.866736562,5.452763273,2.775468277,1.863574641,0.322946348,0.263893679,1.547345612,2.810524293,0.457312414,3.466575836,0.678985877
BT20,GSK690693_GSK1120212,Insulin,240,2.108581229,3.04931554,0.481493831,7.787733593,5.968477593,2.003417934,0.86842636,0.264828436,0.763530394,1.529061274,0.999826896,1.100800309,0.640144812,1.428486209,0.264545476,0.924168896,2.319750602,1.926408183,1.065246124,0.488425296,0.375006918,0.13924801,1.338123746,1.017539189,0.256782416,0.917300516,0.68835316,0.827421701,0.804505103,0.381841709,0.329524161,2.467904176,0.751700334,0.448998,1.021365161,2.477028577,7.400110904,2.30489741,1.552401568,0.239676088,0.220370178,1.408788225,2.413445372,0.474709313,4.373830567,0.654426214
BT20,PD173074,FGF1,240,2.407261399,3.038602658,0.451272868,3.353682318,2.450509649,1.990614985,0.998269271,0.259282467,0.725123321,1.346069031,0.987198936,1.034193055,0.530245925,1.384205215,0.231433795,0.848374763,2.956949882,2.374946111,1.021981697,0.451018993,0.397931148,0.548589239,1.149547067,1.271903297,0.294950159,1.103304699,0.578789253,0.855720249,0.874267246,0.699735821,0.474921766,2.359257604,0.86343409,0.433939883,0.950601686,2.764259141,6.722479657,2.702841074,2.157008938,0.94652788,0.713397431,1.395192272,2.487175061,0.496411425,3.730534464,0.770621909
BT20,PD173074,Insulin,240,2.263316427,2.825909804,0.453613368,3.800701339,2.677579046,1.968489878,1.026790765,0.256607263,0.723451162,1.116046766,1.121301006,1.138170599,0.510860243,1.365780341,0.234962392,0.935020629,3.258567021,2.677003566,1.030405747,0.448896322,0.377772909,0.568235569,1.190935391,1.40099125,0.273964539,1.196149342,0.542368022,0.810382355,0.891886626,0.671817677,0.427139357,2.229108907,1.16182018,0.425196219,1.12298034,2.418132296,6.89832258,2.810367549,2.160668497,0.907698725,0.83521267,1.384345632,2.525344346,0.534031882,3.691347653,0.765367721
BT20,DMSO,FGF1,240,2.996123912,4.041169091,0.447966019,5.18710603,3.552160751,2.665684668,1.031413104,0.244527355,0.69151366,1.22132341,0.949494863,1.053915317,0.482653745,1.361717765,0.224116828,0.821579251,4.002380727,2.849905342,1.264360485,0.420449223,0.360529897,0.546742203,1.242599274,1.340308843,0.25087303,1.205189739,0.686039942,0.812026489,0.838161821,0.672887267,0.390714369,2.686923905,0.712514169,0.419679263,0.932047582,3.617037598,9.782683216,3.645353541,2.966779486,1.050976837,0.9049353,1.367438139,3.239832198,0.454331691,4.503551585,0.722697671
